"Constant","School.ID","School.Intake.Score","School.Boys","School.Girls","nk","cum.nk"
1,1,0.1661752,0,0,73,73
1,2,0.3951492,0,1,55,128
1,3,0.5141552,0,0,52,180
1,4,0.0917642,0,0,79,259
1,5,0.2105252,0,0,35,294
1,6,0.6376562,0,1,80,374
1,7,-0.029003,0,1,88,462
1,8,-0.040532,0,1,102,564
1,9,-0.494304,0,0,34,598
1,10,0.1892722,0,0,50,648
1,11,0.6350562,1,0,62,710
1,12,-0.00874,0,0,47,757
1,13,-0.149341,0,0,64,821
1,14,0.3264402,0,0,198,1019
1,15,0.2702882,0,0,91,1110
1,16,0.3232042,0,1,88,1198
1,17,-0.118244,0,0,126,1324
1,18,0.1424362,0,1,120,1444
1,19,0.3846302,0,0,55,1499
1,20,0.4410412,0,0,39,1538
1,21,0.2012732,0,1,73,1611
1,22,-0.062356,0,0,90,1701
1,23,-0.254685,0,0,28,1729
1,24,-0.415201,1,0,37,1766
1,25,-0.649018,0,1,73,1839
1,26,-0.654875,0,0,75,1914
1,27,-0.635548,1,0,39,1953
1,28,-0.353908,0,0,57,2010
1,29,-0.351834,0,1,79,2089
1,30,0.2687752,0,1,42,2131
1,31,-0.490832,0,1,49,2180
1,32,-0.650231,0,0,42,2222
1,33,0.0759212,0,0,77,2299
1,34,-0.360043,0,0,26,2325
1,35,-0.120454,0,1,38,2363
1,36,-0.096466,1,0,70,2433
1,37,-0.755961,1,0,22,2455
1,38,-0.212047,0,0,54,2509
1,39,-0.197124,0,1,48,2557
1,40,-0.01305,1,0,71,2628
1,41,-0.288729,0,1,60,2688
1,42,-0.146179,0,0,58,2746
1,43,0.4334322,0,0,61,2807
1,44,-0.241656,1,0,29,2836
1,45,-0.187182,0,0,53,2889
1,46,-0.143724,0,0,83,2972
1,47,-0.139923,0,0,82,3054
1,48,-0.414084,0,1,2,3056
1,49,-0.001192,0,1,113,3169
1,50,0.0065332,0,0,73,3242
1,51,-0.396984,0,0,58,3300
1,52,0.1963172,1,0,61,3361
1,53,0.3805512,0,1,70,3431
1,54,0.5880652,0,0,8,3439
1,55,0.2673852,0,0,51,3490
1,56,-0.085653,0,0,38,3528
1,57,-0.064455,1,0,63,3591
1,58,0.2102702,0,1,37,3628
1,59,-0.545095,0,0,47,3675
1,60,-0.088644,0,1,80,3755
1,61,-0.020198,0,0,64,3819
1,62,0.1673862,0,0,71,3890
1,63,0.1562112,0,0,30,3920
1,64,0.4341442,1,0,59,3979
1,65,-0.23535,0,1,80,4059
